"Reference","Qty","Value","Footprint","LCSC"
"XT1,XT2,XT3","3","XT30","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","C2913282"
"X1,X2,X3","3","18650 holder","Battery:BatteryHolder_Keystone_1042_1x18650","C2988620"
