Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4, BT5, BT6",BT20,6,BT2.0,-
F1,1812,1,2A,C960026
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Power Input,C98732
J2,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Balance input,C144398
J3,PinHeader_2x07_P2.54mm_Vertical,1,Voltage selector,C2897408
"XT1, XT2, XT3, XT4, XT5, XT6",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,6,XT30,C431092
